Date,Close/Last,Volume,Open,High,Low
02/26/2019,$68.6515,12918375,$69.4565,$70.1649,$67.8143
02/25/2019,$69.4565,36256200,$74.271,$75.4264,$69.1997
02/22/2019,$65.284,6330409,$64.5137,$65.3482,$64.1285
02/21/2019,$64.3853,6180524,$64.3853,$65.4445,$64.1927
02/20/2019,$64.8346,6078466,$64.7704,$65.0272,$64.2569
02/19/2019,$65.0272,7943391,$64.3853,$65.1556,$63.8717
02/15/2019,$64.7704,9773393,$64.963,$65.9901,$64.5779
02/14/2019,$64.4495,11664526,$66.0543,$66.1185,$63.8717
02/13/2019,$66.5678,12357666,$64.0643,$66.8888,$63.8717
02/12/2019,$64.0643,8383033,$64.6421,$65.1877,$63.615
02/11/2019,$64.3853,8807254,$63.3582,$65.1556,$63.1014
02/08/2019,$62.973,14812075,$64.2569,$64.8346,$61.2398
02/07/2019,$64.5779,13576675,$66.8888,$67.0172,$64.0001
02/06/2019,$67.2098,15053788,$68.4936,$70.0342,$66.953
02/05/2019,$68.2368,12825600,$65.7975,$68.3652,$65.284
02/04/2019,$65.5408,12887388,$65.9259,$66.3753,$64.8346
02/01/2019,$65.4124,19744625,$65.4766,$66.953,$63.9359
01/31/2019,$65.2198,43534663,$63.8076,$69.1355,$62.6521
01/30/2019,$58.4154,10736370,$57.6451,$59.5708,$57.0031
01/29/2019,$57.1315,14297888,$57.1315,$58.6079,$55.5267
01/28/2019,$57.3241,11443123,$57.6451,$57.7734,$56.1686
01/25/2019,$58.8005,14029363,$56.8105,$59.1215,$56.7464
01/24/2019,$56.3612,11280360,$55.3983,$57.5809,$55.2699
01/23/2019,$56.0402,9038615,$55.7835,$56.7464,$55.2699
01/22/2019,$55.5909,13509913,$57.6451,$57.7092,$54.949
01/18/2019,$58.1586,11567049,$59.2499,$59.3783,$57.966
01/17/2019,$58.6721,13210800,$57.1315,$58.9719,$56.1686
01/16/2019,$57.6451,10513144,$55.9118,$57.7734,$55.5909
01/15/2019,$56.0402,11643338,$57.1957,$57.3241,$55.8477
01/14/2019,$57.1315,10069740,$56.5538,$57.7734,$56.2328
01/11/2019,$57.3883,10077211,$56.9389,$57.4525,$55.976
01/10/2019,$57.3883,14024113,$54.5638,$57.4525,$54.4675
01/09/2019,$54.5638,14525075,$54.6922,$56.2328,$52.5096
01/08/2019,$54.949,18249538,$57.1957,$58.0302,$54.6601
01/07/2019,$56.1044,22369988,$54.8527,$56.4254,$53.2158
01/04/2019,$52.8306,14901688,$52.5738,$53.0232,$51.2258
01/03/2019,$51.7393,14995125,$51.4826,$52.638,$49.9426
01/02/2019,$51.6751,16086513,$47.8878,$52.5096,$47.5668
12/31/2018,$48.5939,13538613,$48.2729,$48.9148,$47.1816
12/28/2018,$48.2087,15197038,$46.1546,$49.1074,$46.1546
12/27/2018,$46.6681,14685975,$46.0904,$46.6681,$44.6139
12/26/2018,$47.4384,16219100,$44.8707,$47.5668,$43.4585
12/24/2018,$44.4214,8751305,$45.3201,$45.7694,$44.293
12/21/2018,$45.8978,23195950,$46.9891,$47.8236,$45.5768
12/20/2018,$47.7594,22760638,$49.1074,$50.1987,$47.2458
12/19/2018,$49.1716,27401600,$49.0432,$51.0332,$48.4655
12/18/2018,$46.7323,18333863,$46.0904,$48.9469,$45.962
